a.Id	Event Participants Id
a.FKEventId	Event Participants Eventid
a.FKDonorId	Event Participants Donorid
a.Status	Event Participants Status
a.Notes	Event Participants Notes
a.Attended	Event Participants Attended
a.CreateUser	Event Participants Createuser
a.CreateDate	Event Participants Createdate
a.LastUpdateUser	Event Participants Lastupdateuser
a.LastUpdateDate	Event Participants Lastupdatedate
b.Id	Events Info Id
b.Name	Events Info Name
b.Description	Events Info Desciption
b.FKLocationId	Events Info Locationid
b.FKStatusId	Events Info Statusid
b.FKCategoryId	Events Info Categoryid
b.FKCoordinatorId	Events Info Coordinatorid
b.FKCampaignId	Events Info Campaignid
b.FKAppealId	Events Info Appealid
b.StartDateTime	Events Info Startdatetime
b.EndDateTime	Events Info Enddatetime
b.RSVPDateTime	Events Info Rsvpdatetime
b.MaxCapacity	Events Info Max Capacity
b.MinCapacity	Events Info Min Capacity
b.RevenueGoal	Events Info Revenue Goal
b.AttendanceGoal	Events Info Attendance Goal
b.Notes	Events Info Notes
b.CreateUser	Events Info Createuser
b.CreateDate	Events Info Createdate
b.LastUpdateUser	Events Info Lastupdateuser
b.LastUpdateDate	Events Info Lastupdatedate
b.FKFundId	Events Info Fundid
c.id	Donor Id
c.friendlyDisplay	Donor Friendly Display Name
c.description	Donor Description
c.salutationFormal	Donor Salutationformal
c.salutationInformal	Donor Salutationinformal
c.addresseeFormal	Donor Addresseeformal
c.addresseeInformal	Donor Addresseeinformal
c.FKMailing	Donor Mailing
c.FKPhone	Donor Phone
c.FKEmail	Donor Email
c.address	Donor Address
c.citystate	Donor Citystate
c.addressName	Donor Addressname
c.address1	Donor Address1
c.address2	Donor Address 2
c.city	Donor City
c.state	Donor State
c.zip	Donor Zip
c.country	Donor Country
c.emailName	Donor Emailname
c.email	Donor Email
c.bestTimeToContact	Donor Best Time To Contact
c.bestWayToContact	Donor Best Way To Contact
c.anonymous	Donor Anonymous
c.doNotCall	Donor Donotcall
c.doNotMail	Donor Donotmail
c.doNotEmail	Donor Donotemail
c.memberSince	Donor Member Since
c.renewalDate	Donor Renewal Date
c.FKsource	Donor Source
c.FKstatus	Donor Status
c.assignedTo	Donor Assigned To
c.dateEntered	Donor Dateentered
c.dateLastAction	Donor Datelastaction
c.lastActionBy	Donor Lastactionby
c.lastAction	Donor Lastaction
c.deleted	Donor Deleted
c.custom1	Donor Custom1
